run_name,run_dir,frame_base,fps,fps_value,chunk_size,overlap,chunk_overlap_label,loop_enable,gpu_samples,duration_s,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_mem_total_mb,gpu_mean_mem_used_percent,gpu_peak_mem_used_percent,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
freiburg1_room__fps2__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps2__chunk20__overlap10__loop,freiburg1_room,2,2.0,20,10,20/10,True,31,30.001,45.193548387096776,100.0,3609.1290322580644,9599.0,12282.0,29.385515651018274,78.1550236117896,78.41,186.0,46.87096774193548,62.0
freiburg1_room__fps2__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps2__chunk30__overlap15__loop,freiburg1_room,2,2.0,30,15,30/15,True,30,29.001,40.266666666666666,100.0,4079.4,10605.0,12282.0,33.21446018563752,86.34587200781631,79.883,185.52,47.266666666666666,63.0
freiburg1_room__fps3__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps3__chunk10__overlap5__loop,freiburg1_room,3,3.0,10,5,10/5,True,43,42.001,45.51162790697674,100.0,3911.232558139535,8795.0,12282.0,31.84524147646584,71.60885849210227,83.54232558139535,151.96,47.23255813953488,61.0
freiburg1_room__fps3__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps3__chunk20__overlap10__loop,freiburg1_room,3,3.0,20,10,20/10,True,42,41.001,43.523809523809526,100.0,4096.023809523809,9633.0,12282.0,33.34981118322594,78.43185148998535,86.6897619047619,188.27,47.857142857142854,63.0
freiburg1_room__fps3__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps3__chunk30__overlap15__loop,freiburg1_room,3,3.0,30,15,30/15,True,43,42.001,32.18604651162791,100.0,4304.790697674419,10619.0,12282.0,35.049590438645325,86.45985995766162,87.40325581395349,185.45,48.651162790697676,65.0
freiburg1_room__fps5__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps5__chunk10__overlap5__loop,freiburg1_room,5,5.0,10,5,10/5,True,65,64.0,50.6,100.0,4101.261538461538,8803.0,12282.0,33.39245675347287,71.67399446344244,92.09861538461539,150.66,50.13846153846154,63.0
freiburg1_room__fps5__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps5__chunk20__overlap10__loop,freiburg1_room,5,5.0,20,10,20/10,True,67,66.001,53.35820895522388,100.0,4407.059701492537,9671.0,12282.0,35.882264301355946,78.74124735385116,94.82417910447762,184.34,50.08955223880597,64.0
freiburg1_room__fps5__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps5__chunk30__overlap15__loop,freiburg1_room,5,5.0,30,15,30/15,True,65,64.001,45.246153846153845,100.0,4963.984615384616,10714.0,12282.0,40.41674495509376,87.23334961732617,96.11630769230769,183.88,51.43076923076923,65.0
freiburg1_xyz__fps2__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_xyz__fps2__chunk10__overlap5__loop,freiburg1_xyz,2,2.0,10,5,10/5,True,25,24.001,45.4,100.0,3761.32,8914.0,12282.0,30.624653965152255,72.57775606578734,71.944,157.74,46.6,61.0
freiburg1_xyz__fps2__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_xyz__fps2__chunk20__overlap10__loop,freiburg1_xyz,2,2.0,20,10,20/10,True,24,23.001,34.833333333333336,100.0,3134.4166666666665,9716.0,12282.0,25.52040927101992,79.10763719263963,72.535,164.82,47.041666666666664,61.0
